"Kods","Koda atšifrējums latviešu valodā","Koda atšifrējums angļu valodā","Pakalpojuma kategorijas Nr."
"75123000-4","Administratīvie mājokļu pakalpojumi.","Administrative housing services",27
"75124000-1","Administratīvie atpūtas, kultūras un reliģijas pakalpojumi.","Administrative recreational, cultural and religious services",27
"75125000-8","Ar tūrisma jautājumiem saistītie administratīvie pakalpojumi.","Administrative services related to tourism affairs",27
"75130000-6","Palīgpakalpojumi valdībai.","Supporting services for the government",27
"75131000-3","Valdības pakalpojumi.","Government services",27
"75131100-4","Vispārējie personāla pakalpojumi valdībai.","General personnel services for the government",27
"75200000-8","Pakalpojumu sniegšana sabiedrībai.","Provision of services to the community",27
"75210000-1","Ārlietas un citi pakalpojumi.","Foreign affairs and other services",27
"75211000-8","Ārlietu pakalpojumi.","Foreign-affairs services",27
"75211100-9","Diplomātiskie pakalpojumi.","Diplomatic services",27
"75211110-2","Konsulārie pakalpojumi.","Consular services",27
"75211200-0","Ar ārējo ekonomisko palīdzību saistītie pakalpojumi.","Foreign economic-aid-related services",27
"75211300-1","Ar ārējo militāro palīdzību saistītie pakalpojumi.","Foreign military-aid-related services",27
"75220000-4","Aizsardzības pakalpojumi.","Defence services",27
"75221000-1","Militārās aizsardzības pakalpojumi.","Military defence services",27
"75222000-8","Civilās aizsardzības pakalpojumi.","Civil defence services",27
"75230000-7","Tieslietu pakalpojumi.","Justice services",27
"75231000-4","Tiesu pakalpojumi.","Judicial services",27
"75231100-5","Ar tiesām saistītie administratīvie pakalpojumi.","Law-courts-related administrative services",27
"75231200-6","Ar noziedznieku aizturēšanu vai rehabilitāciju saistītie pakalpojumi.","Services related to the detention or rehabilitation of criminals",27
"75231210-9","Ieslodzījuma pakalpojumi.","Imprisonment services",27
"75231220-2","Ieslodzīto eskorta pakalpojumi.","Prisoner-escort services",27
"75231230-5","Ieslodzījuma vietu pakalpojumi.","Prison services",27
"75231240-8","Nosacīti notiesāto pārbaudes pakalpojumi.","Probation services",27
"75240000-0","Sabiedriskās drošības, likumības un kārtības nodrošināšanas pakalpojumi.","Public security, law and order services",27
"75241000-7","Sabiedriskās drošības pakalpojumi.","Public security services",27
"75241100-8","Policijas pakalpojumi.","Police services",27
"75242000-4","Sabiedriskās likumības un kārtības nodrošināšanas pakalpojumi.","Public law and order services",27
"75242100-5","Sabiedriskās kārtības nodrošināšanas pakalpojumi.","Public-order services",27
"75242110-8","Tiesu izpildītāju pakalpojumi.","Bailiff services",27
"75250000-3","Ugunsdzēsēju komandas un glābšanas pakalpojumi.","Fire-brigade and rescue services",27
"75251000-0","Ugunsdzēsēju komandas pakalpojumi.","Fire-brigade services",27
"75251100-1","Ugunsdzēšanas pakalpojumi.","Firefighting services",27
"75251110-4","Ugunsgrēka novēršanas pakalpojumi.","Fire-prevention services",27
"75251120-7","Mežu ugunsgrēka dzēšanas pakalpojumi.","Forest-firefighting services",27
"75252000-7","Glābšanas pakalpojumi.","Rescue services",27
"75300000-9","Obligātās sociālās apdrošināšanas pakalpojumi.","Compulsory social security services",27
"75310000-2","Pabalstu pakalpojumi.","Benefit services",27
"75311000-9","Slimības pabalsti.","Sickness benefits",27
"75312000-6","Maternitātes pabalsti.","Maternity benefits",27
"75313000-3","Invaliditātes pabalsti.","Disability benefits",27
"75313100-4","Īslaicīgas darba nespējas pabalsti.","Temporary disablement benefits",27
"75314000-0","Bezdarba kompensācijas pabalsti.","Unemployment compensation benefits",27
"75320000-5","Valsts darbā strādājošo pensiju shēmas.","Government employee pension schemes",27
"75330000-8","Ģimenes pabalsti.","Family allowances",27
"75340000-1","Bērnu pabalsti.","Child allowances",27
"76000000-3","Ar naftas un gāzes rūpniecību saistītie pakalpojumi.","Services related to the oil and gas industry",27
"76100000-4","Profesionālie pakalpojumi gāzes rūpniecībai.","Professional services for the gas industry",27
"76110000-7","Gāzes ieguvei raksturīgi pakalpojumi.","Services incidental to gas extraction",27
"76111000-4","Regazifikācijas pakalpojumi.","Regasification services",27
"76120000-0","Niršanas pakalpojumi, kas raksturīgi gāzes ieguvei.","Diving services incidental to gas extraction",27
"76121000-7","Niršanas pakalpojumi jūrā saistībā ar naftas urbumiem.","Subsea well diving services",27
"76200000-5","Profesionālie pakalpojumi naftas rūpniecībai.","Professional services for the oil industry",27
"76210000-8","Naftas ieguvei raksturīgi pakalpojumi.","Services incidental to oil extraction",27
"76211000-5","Cauruļvadu piekares pakalpojumi.","Liner-hanger services",27
"76211100-6","Apšuvumu pakalpojumi.","Lining services",27
"76211110-9","Šahtas izmēģinājuma apšuvumu pakalpojumi.","Test pit lining services",27
"76211120-2","Urbuma šahtas apšuvumu pakalpojumi.","Well site pit lining services",27
"76211200-7","Urbšanas šķidruma analīžu pakalpojumi.","Mudlogging services",27
"76300000-6","Urbumu veikšanas pakalpojumi.","Drilling services",27
"76310000-9","Gāzes ieguvei raksturīgi urbumu veikšanas pakalpojumi.","Drilling services incidental to gas extraction",27
"76320000-2","Urbumu veikšanas pakalpojumi atklātā jūrā.","Offshore drilling services",27
"76330000-5","Urbšanas pakalpojumi, izmantojot turbīnas.","Turbine drilling services",27
"76331000-2","Urbšanas pakalpojumi, izmantojot spirāļveida turbīnas.","Coiled turbine drilling services",27
"76340000-8","Paraugu ņemšanas urbums.","Core drilling",27
"76400000-7","Urbjtorņu pozicionēšanas pakalpojumi.","Rig-positioning services",27
"76410000-0","Urbuma apvalka un cauruļu likšanas pakalpojumi.","Well-casing and tubing services",27
"76411000-7","Urbuma apvalka ielikšanas pakalpojumi.","Well-casing services",27
"76411100-8","Urbumu apvalka ielikšanas apkalpes pakalpojumi.","Well-casing crew services",27
"76411200-9","Urbumu apvalka ielikšanas plānošanas pakalpojumi.","Well-casing planning services",27
"76411300-0","Urbumu apvalka ielikšanas frēzēšanas pakalpojumi.","Well-casing milling services",27
"76411400-1","Urbumu apvalka ielikšanas pabeigšanas pakalpojumi.","Well-casing completion services",27
"76420000-3","Urbuma cementēšanas pakalpojumi.","Well-cementing services",27
"76421000-0","Apšuvuma cementēšanas pakalpojumi.","Liner cementing services",27
"76422000-7","Noslēga cementēšanas pakalpojumi.","Plug cementing services",27
"76423000-4","Cementēšanas pakalpojumi, izmantojot šūnbetonu.","Foam cementing services",27
"76430000-6","Urbšanas un ražošanas pakalpojumi.","Well-drilling and production services",27
"76431000-3","Urbšanas pakalpojumi.","Well-drilling services",27
"76431100-4","Urbšanas kontroles pakalpojumi.","Well-drilling control services",27
"76431200-5","Ar urbšanu saistīti pacelšanas pakalpojumi.","Well-drilling pickup services",27
"76431300-6","Ar urbšanu saistīti nolaišanas pakalpojumi.","Well-drilling laydown services",27
"76431400-7","Papildu urbuma urbšanas pakalpojumi.","Rathole well-drilling services",27
"76431500-8","Urbšanas uzraudzības pakalpojumi.","Well-drilling supervision services",27
"76431600-9","Urbjtorņu uzraudzības pakalpojumi.","Well-drilling rig monitor services",27
"76440000-9","Urbuma nostiprināšanas pakalpojumi.","Well-logging services",27
"76441000-6","Ar apvalku nostiprināto urbumu mērīšanas pakalpojumi.","Cased hole logging services",27
"76442000-3","Ar apvalku nenostiprināto urbumu mērīšanas pakalpojumi.","Open hole logging services",27
"76443000-0","Citi mērīšanas pakalpojumi.","Other logging services",27
"76450000-2","Urbuma apsaimniekošanas pakalpojumi.","Well-management services",27
"76460000-5","Urbumu palīgpakalpojumi.","Well-support services",27
"76470000-8","Urbuma testēšanas pakalpojumi.","Well-testing services",27
"76471000-5","Urbumu sagraušanas testēšanas pakalpojumi.","Well fracture testing services",27
"76472000-2","Urbumu vietas pārbaudes un testēšanas pakalpojumi.","Well site inspection or testing services",27
"76473000-9","Urbumu iekārtu testešanas pakalpojumi.","Well equipment testing services",27
"76480000-1","Cauruļu likšanas pakalpojumi.","Tubing services",27
"76490000-4","Urbuma pabeigšanas pakalpojumi.","Well-completion services",27
"76491000-1","Urbuma nosprostošanas pakalpojumi.","Well-plugging services",27
"76492000-8","Urbuma pozicionēšanas pakalpojumi.","Well-positioning services",27
"76500000-8","Pakalpojumi jūras krastā un atklātā jūrā.","Onshore and offshore services",27
"76510000-1","Pakalpojumi jūras krastā.","Onshore services",27
"76520000-4","Pakalpojumi atklātā jūrā.","Offshore services",27
"76521000-1","Ar atklātā jūrā esošām iekārtām saistīti pakalpojumi.","Offshore installation services",27
"76522000-8","Piekrastes apgādes kuģa pakalpojumi.","Offshore supply-vessel services",27
"76530000-7","Ar urbumiem saistīti pakalpojumi.","Downhole services",27
"76531000-4","Urbumu mērīšanas pakalpojumi.","Downhole logging services",27
"76532000-1","Urbumu sūknēšanas pakalpojumi.","Downhole pumping services",27
"76533000-8","Informācijas reģistrēšanas pakalpojumi saistībā ar urbumiem.","Downhole recording services",27
